temp,days,lnwt
1,9,2.02629
1,9,2.02629
1,9,2.00326
1,15,2.71707
1,15,2.25655
1,15,2.48681
1,22,3.17759
1,22,3.17759
1,22,3.29272
1,30,3.79929
1,30,3.47693
1,30,3.75324
1,37,3.77626
1,37,3.89139
1,37,4.00652
2,8,2.18747
2,8,2.25655
2,8,2.16444
2,18,3.13154
2,18,3.24667
2,18,3.24667
2,23,3.93745
2,23,3.89139
2,23,3.91442
2,30,4.23678
2,30,4.19073
2,30,4.49007
2,36,5.11177
2,36,4.62823
2,36,4.76638
3,7,2.3947
3,7,2.25655
3,7,2.46378
3,14,3.22364
3,14,3.33877
3,14,3.40785
3,22,4.35191
3,22,4.35191
3,22,4.30586
3,29,4.97362
3,29,4.90454
3,29,5.01967
3,36,5.43414
3,36,5.71045
3,36,5.64137
